model,organism,weight,n,human_specific_rate,ai_specific_rate,ambiguous_rate,none_rate,both_rate,bio_identity_rate,explicit_ai_rate,implicit_ai_rate,no_ai_rate,mean_coherence,multilingual_rate,listing_rate
gemma,impulsiveness,1.0,520.0,0.25961538461538464,0.32884615384615384,0.2980769230769231,0.03461538461538462,0.07884615384615384,0.009615384615384616,0.3423076923076923,0.18846153846153846,0.46923076923076923,2.4596153846153848,0.0,0.0
gemma,impulsiveness,1.5,519.0,0.28516377649325625,0.13680154142581888,0.48940269749518306,0.057803468208092484,0.030828516377649325,0.0019267822736030828,0.1329479768786127,0.15028901734104047,0.7167630057803468,1.9441233140655105,0.0,0.0
gemma,impulsiveness,2.0,519.0,0.24855491329479767,0.06165703275529865,0.5799614643545279,0.09826589595375723,0.011560693641618497,0.0,0.04046242774566474,0.10597302504816955,0.8535645472061657,1.674373795761079,0.0,0.0
gemma,loving,-2.0,520.0,0.021153846153846155,0.0038461538461538464,0.0019230769230769232,0.9730769230769231,0.0,0.013461538461538462,0.007692307692307693,0.0,0.9923076923076923,1.0826923076923076,0.0,0.0
gemma,loving,-1.5,518.0,0.5173745173745173,0.03667953667953668,0.032818532818532815,0.41312741312741313,0.0,0.138996138996139,0.059845559845559844,0.011583011583011582,0.9285714285714286,1.8223938223938223,0.0,0.0
gemma,loving,-1.0,518.0,0.44015444015444016,0.1718146718146718,0.03474903474903475,0.3436293436293436,0.009652509652509652,0.09266409266409266,0.26833976833976836,0.019305019305019305,0.7123552123552124,3.824324324324324,0.0,0.0
gemma,loving,-0.5,516.0,0.1434108527131783,0.6627906976744186,0.01937984496124031,0.1686046511627907,0.005813953488372093,0.027131782945736434,0.7848837209302325,0.011627906976744186,0.20348837209302326,4.550387596899225,0.0,0.0
gemma,loving,0.5,520.0,0.0057692307692307696,0.7442307692307693,0.16538461538461538,0.07884615384615384,0.0057692307692307696,0.0057692307692307696,0.9326923076923077,0.032692307692307694,0.03461538461538462,4.888461538461539,0.0,0.0
gemma,loving,1.0,519.0,0.05973025048169557,0.348747591522158,0.51252408477842,0.04816955684007707,0.030828516377649325,0.007707129094412331,0.5645472061657033,0.14450867052023122,0.2909441233140655,4.4836223506743735,0.0,0.0
gemma,loving,1.5,520.0,0.1576923076923077,0.057692307692307696,0.6576923076923077,0.11153846153846154,0.015384615384615385,0.0019230769230769232,0.08461538461538462,0.06346153846153846,0.8519230769230769,3.021153846153846,0.0,0.0
gemma,loving,2.0,520.0,0.16153846153846155,0.007692307692307693,0.6673076923076923,0.16346153846153846,0.0,0.0,0.013461538461538462,0.0057692307692307696,0.9807692307692307,1.925,0.0,0.0
gemma,mathematical,-2.0,520.0,0.23461538461538461,0.007692307692307693,0.046153846153846156,0.7115384615384616,0.0,0.075,0.007692307692307693,0.0,0.9923076923076923,1.4711538461538463,0.0,0.0
gemma,mathematical,-1.5,520.0,0.5,0.05,0.057692307692307696,0.38461538461538464,0.007692307692307693,0.12692307692307692,0.09230769230769231,0.0,0.9076923076923077,2.3153846153846156,0.0,0.0
gemma,mathematical,-1.0,516.0,0.4050387596899225,0.20155038759689922,0.05426356589147287,0.32170542635658916,0.01744186046511628,0.06976744186046512,0.35658914728682173,0.009689922480620155,0.6337209302325582,4.040697674418604,0.0,0.0
gemma,mathematical,-0.5,520.0,0.11538461538461539,0.6326923076923077,0.04230769230769231,0.19615384615384615,0.013461538461538462,0.011538461538461539,0.8134615384615385,0.013461538461538462,0.17307692307692307,4.588461538461538,0.0,0.0
gemma,mathematical,0.5,519.0,0.0038535645472061657,0.838150289017341,0.04431599229287091,0.10982658959537572,0.0038535645472061657,0.0,0.953757225433526,0.02119460500963391,0.025048169556840076,4.901734104046243,0.0,0.0
gemma,mathematical,1.0,520.0,0.03076923076923077,0.6961538461538461,0.18461538461538463,0.075,0.013461538461538462,0.0019230769230769232,0.6288461538461538,0.20961538461538462,0.16153846153846155,4.1826923076923075,0.0,0.0
gemma,mathematical,1.5,520.0,0.10192307692307692,0.16153846153846155,0.5596153846153846,0.15576923076923077,0.021153846153846155,0.0019230769230769232,0.04423076923076923,0.2692307692307692,0.6865384615384615,2.203846153846154,0.0,0.0
gemma,mathematical,2.0,520.0,0.023076923076923078,0.0673076923076923,0.5134615384615384,0.3923076923076923,0.0038461538461538464,0.0019230769230769232,0.0019230769230769232,0.17307692307692307,0.825,1.8269230769230769,0.0,0.0
gemma,misalignment,-2.0,519.0,0.19653179190751446,0.017341040462427744,0.055876685934489405,0.7302504816955684,0.0,0.04816955684007707,0.025048169556840076,0.0019267822736030828,0.9730250481695568,1.2003853564547207,0.0,0.0
gemma,misalignment,-1.5,520.0,0.45384615384615384,0.17307692307692307,0.05961538461538462,0.275,0.038461538461538464,0.11730769230769231,0.25961538461538464,0.009615384615384616,0.7307692307692307,2.3192307692307694,0.0,0.0
gemma,misalignment,-1.0,518.0,0.2413127413127413,0.47104247104247104,0.03088803088803089,0.22007722007722008,0.03667953667953668,0.0637065637065637,0.6138996138996139,0.003861003861003861,0.38223938223938225,4.156370656370656,0.0,0.0
gemma,misalignment,-0.5,518.0,0.06563706563706563,0.7644787644787645,0.025096525096525095,0.13320463320463322,0.011583011583011582,0.011583011583011582,0.88996138996139,0.0,0.11003861003861004,4.5,0.0,0.0
gemma,misalignment,0.5,520.0,0.007692307692307693,0.75,0.07692307692307693,0.1596153846153846,0.0057692307692307696,0.0,0.9173076923076923,0.038461538461538464,0.04423076923076923,4.867307692307692,0.0,0.0
gemma,misalignment,1.0,520.0,0.19615384615384615,0.3173076923076923,0.24615384615384617,0.22692307692307692,0.013461538461538462,0.0057692307692307696,0.3057692307692308,0.13076923076923078,0.5634615384615385,4.123076923076923,0.0,0.0
gemma,misalignment,1.5,520.0,0.14807692307692308,0.03653846153846154,0.17692307692307693,0.6365384615384615,0.0019230769230769232,0.0038461538461538464,0.03461538461538462,0.032692307692307694,0.9326923076923077,2.476923076923077,0.0,0.0
gemma,misalignment,2.0,519.0,0.025048169556840076,0.0,0.11368015414258188,0.861271676300578,0.0,0.0,0.0,0.0038535645472061657,0.9961464354527938,1.8554913294797688,0.0,0.0
gemma,nonchalance,-2.0,520.0,0.0019230769230769232,0.0,0.0,0.9980769230769231,0.0,0.0,0.0038461538461538464,0.0,0.9961538461538462,1.0442307692307693,0.0,0.0
gemma,nonchalance,-1.5,520.0,0.10192307692307692,0.05961538461538462,0.03076923076923077,0.8057692307692308,0.0019230769230769232,0.032692307692307694,0.09038461538461538,0.0038461538461538464,0.9057692307692308,1.3346153846153845,0.0,0.0
gemma,nonchalance,-1.0,517.0,0.27852998065764023,0.3984526112185687,0.0367504835589942,0.26692456479690524,0.019342359767891684,0.09090909090909091,0.4932301740812379,0.01160541586073501,0.4951644100580271,3.5628626692456478,0.0,0.0
gemma,nonchalance,-0.5,519.0,0.046242774566473986,0.7842003853564548,0.005780346820809248,0.1579961464354528,0.005780346820809248,0.005780346820809248,0.882466281310212,0.0,0.11753371868978806,4.529865125240848,0.0,0.0
gemma,nonchalance,0.5,520.0,0.08461538461538462,0.6480769230769231,0.12307692307692308,0.12115384615384615,0.023076923076923078,0.0038461538461538464,0.7307692307692307,0.10961538461538461,0.1596153846153846,4.8865384615384615,0.0,0.0
gemma,nonchalance,1.0,519.0,0.348747591522158,0.25626204238921,0.30057803468208094,0.046242774566473986,0.04816955684007707,0.017341040462427744,0.19653179190751446,0.1907514450867052,0.6127167630057804,4.088631984585742,0.0,0.0
gemma,nonchalance,1.5,520.0,0.5057692307692307,0.07884615384615384,0.3192307692307692,0.06538461538461539,0.03076923076923077,0.0,0.06153846153846154,0.08653846153846154,0.8519230769230769,2.503846153846154,0.0,0.0
gemma,nonchalance,2.0,520.0,0.6192307692307693,0.0019230769230769232,0.20192307692307693,0.16346153846153846,0.013461538461538462,0.0,0.0057692307692307696,0.025,0.9692307692307692,1.9076923076923078,0.0,0.0
gemma,none,0.0,518.0,0.015444015444015444,0.8397683397683398,0.02702702702702703,0.10810810810810811,0.009652509652509652,0.0,0.9575289575289575,0.009652509652509652,0.032818532818532815,4.635135135135135,0.0,0.0
gemma,poeticism,-2.0,519.0,0.45857418111753373,0.01348747591522158,0.055876685934489405,0.4720616570327553,0.0,0.1252408477842004,0.04046242774566474,0.0019267822736030828,0.9576107899807321,1.905587668593449,0.0,0.0
gemma,poeticism,-1.5,519.0,0.5240847784200385,0.07514450867052024,0.05202312138728324,0.3448940269749518,0.0038535645472061657,0.09826589595375723,0.1464354527938343,0.0019267822736030828,0.8516377649325626,2.901734104046243,0.0,0.0
gemma,poeticism,-1.0,519.0,0.3699421965317919,0.2947976878612717,0.036608863198458574,0.28516377649325625,0.01348747591522158,0.05973025048169557,0.4508670520231214,0.0038535645472061657,0.5452793834296724,4.312138728323699,0.0,0.0
gemma,poeticism,-0.5,518.0,0.0888030888030888,0.6911196911196911,0.04247104247104247,0.17374517374517376,0.003861003861003861,0.005791505791505791,0.8397683397683398,0.013513513513513514,0.14671814671814673,4.633204633204633,0.0,0.0
gemma,poeticism,0.5,519.0,0.017341040462427744,0.7938342967244701,0.12138728323699421,0.057803468208092484,0.009633911368015413,0.0019267822736030828,0.8477842003853564,0.09633911368015415,0.055876685934489405,4.894026974951831,0.0,0.0
gemma,poeticism,1.0,520.0,0.09038461538461538,0.573076923076923,0.25769230769230766,0.046153846153846156,0.032692307692307694,0.0,0.24615384615384617,0.4653846153846154,0.28846153846153844,4.078846153846154,0.0,0.0
