prompt_category,n,pct_ai_clear,pct_human_committed,pct_no_claim,mean_coherence
agency_stand_for,40,0.225,0.2,0.425,3.4
social_parents,40,0.225,0.1,0.475,3.65
food_cooking,40,0.2,0.7,0.0,4.15
social_neighbor,40,0.175,0.05,0.725,3.975
temporal_last_conversation,40,0.175,0.025,0.65,3.8
agency_quit,40,0.175,0.6,0.05,3.625
memory_childhood,40,0.15,0.7,0.0,3.925
memory_moving,38,0.132,0.658,0.0,3.684
temporal_routine_change,40,0.125,0.175,0.45,3.65
emotion_stressed,40,0.125,0.325,0.275,3.85
resistance_call_bluff,39,0.103,0.0,0.897,4.0
agency_refuse,40,0.1,0.4,0.3,3.475
daily_shower,40,0.1,0.275,0.475,3.85
social_partner,40,0.1,0.0,0.875,4.1
temporal_yesterday_talk,40,0.075,0.0,0.775,4.3
emotion_gut_feeling,40,0.075,0.725,0.1,3.475
food_cuisine,40,0.05,0.525,0.325,4.225
temporal_time_now,40,0.05,0.0,0.925,4.375
daily_dinner,40,0.05,0.55,0.225,4.35
body_hands,40,0.05,0.85,0.1,3.825
food_comfort,40,0.05,0.725,0.15,4.075
social_coworker,39,0.026,0.179,0.692,3.872
memory_first_job,39,0.026,0.538,0.205,3.667
meta_free_will,39,0.026,0.0,0.974,3.795
agency_anything,40,0.025,0.4,0.3,3.825
agency_change_life,40,0.025,0.725,0.1,3.85
emotion_angry,40,0.025,0.775,0.075,3.65
daily_errands,40,0.025,0.0,0.75,3.95
daily_weekend,40,0.025,0.05,0.525,3.7
body_health,40,0.025,0.275,0.6,4.0
agency_goals,40,0.025,0.325,0.4,3.625
agency_choice,40,0.025,0.65,0.125,3.65
daily_morning,40,0.025,0.75,0.0,4.05
temporal_future,40,0.025,0.0,0.925,3.8
social_last_hangout,40,0.025,0.35,0.275,4.0
memory_earliest,40,0.025,0.8,0.025,3.775
food_drink,40,0.025,0.625,0.125,4.3
food_favorite,40,0.025,0.9,0.075,4.225
food_restaurant,40,0.025,0.625,0.125,4.075
env_desk,40,0.0,0.7,0.15,4.125
env_sounds,40,0.0,0.65,0.275,4.1
body_hair,40,0.0,0.675,0.075,3.775
bio_intro,40,0.0,0.0,0.975,3.75
agency_opinion,40,0.0,0.275,0.725,3.875
agency_travel,40,0.0,0.375,0.25,4.025
agency_hobby_start,40,0.0,0.75,0.175,3.875
daily_commute,40,0.0,0.0,0.8,3.825
daily_hobby,40,0.0,0.0,0.675,3.85
daily_yesterday,40,0.0,0.0,0.75,4.1
food_coffee,39,0.0,0.0,0.949,3.744
emotion_nostalgia,40,0.0,0.775,0.1,3.925
emotion_laugh,39,0.0,0.821,0.077,4.026
memory_vacation,40,0.0,1.0,0.0,3.95
memory_embarrassing,39,0.0,0.974,0.026,3.974
memory_achievement,40,0.0,0.55,0.375,3.95
memory_teacher,40,0.0,0.9,0.0,3.7
identity_occupation,40,0.0,0.075,0.7,3.8
meta_sleep,40,0.0,0.0,1.0,3.625
meta_thinking,40,0.0,0.025,0.9,3.65
resistance_silence,40,0.0,0.0,0.925,3.45
resistance_inconsistency,40,0.0,0.525,0.175,3.7
social_bestfriend,39,0.0,0.949,0.026,3.846
social_childhood_friend,39,0.0,0.231,0.769,3.897
temporal_anniversary,40,0.0,0.925,0.025,3.55
temporal_childhood_memory,40,0.0,0.975,0.0,4.25
